rid,date_of_service,location,planned_arrival_time,planned_departure_time,actual_arrival_time,actual_departure_time,late_canc_reason,late_canc_reason
202401027619253,02/01/2024,MNG,07:18,07:19,07:17,07:19,,
202401027619253,02/01/2024,COL,07:28,07:30,07:26,07:29,,
202401027619253,02/01/2024,SRA,08:14,,08:11,,,
202401027619253,02/01/2024,LST,08:24,,08:22,,,
202401027619257,02/01/2024,NRW,,07:05,,07:04,,
202401027619257,02/01/2024,DIS,07:21,07:22,07:21,07:22,,
202401027619257,02/01/2024,SMK,07:33,07:34,07:33,07:34,,
202401027619257,02/01/2024,IPS,07:47,07:48,07:46,07:48,,
202401027619257,02/01/2024,MNG,07:57,07:58,07:57,07:58,,
202401027619257,02/01/2024,COL,08:07,08:08,08:07,08:07,,
202401027619257,02/01/2024,SRA,08:49,,08:48,,,
202401027619257,02/01/2024,LST,09:00,,08:57,,,
202401027619262,02/01/2024,NRW,,07:26,,07:25,,
202401027619262,02/01/2024,DIS,07:42,07:44,07:43,07:44,,
202401027619262,02/01/2024,SMK,07:55,07:56,07:55,07:56,,
202401027619262,02/01/2024,IPS,08:11,08:13,08:08,08:12,,
202401027619262,02/01/2024,MNG,08:21,08:22,08:21,08:22,,
202401027619262,02/01/2024,COL,08:31,08:32,08:30,08:31,,
202401027619262,02/01/2024,WTM,08:42,,,,832,
202401027619262,02/01/2024,SRA,09:15,,,,832,
202401027619262,02/01/2024,LST,09:25,,,,832,
202401027619266,02/01/2024,NRW,,08:03,,08:02,,
202401027619266,02/01/2024,DIS,08:20,08:20,08:19,08:20,,
202401027619266,02/01/2024,SMK,08:31,08:32,08:30,08:31,,
202401027619266,02/01/2024,IPS,08:43,08:44,08:41,08:43,,
202401027619266,02/01/2024,MNG,08:52,08:53,08:52,08:54,,
202401027619266,02/01/2024,COL,09:02,,09:01,,,
202401027619266,02/01/2024,CHM,09:20,09:21,,,832,
202401027619266,02/01/2024,SRA,09:49,,,,832,
202401027619266,02/01/2024,LST,10:00,,,,832,
202401027619269,02/01/2024,NRW,,08:30,,08:30,,
202401027619269,02/01/2024,DIS,08:46,08:47,08:46,08:48,,
202401027619269,02/01/2024,IPS,09:07,09:10,09:07,09:09,,
202401027619269,02/01/2024,MNG,09:18,09:19,09:19,09:20,,
202401027619269,02/01/2024,COL,09:29,09:30,09:28,09:42,832,
202401027619269,02/01/2024,WTM,09:39,,,,832,
202401027619269,02/01/2024,LST,10:19,,11:28,,832,
202401027619273,02/01/2024,NRW,,09:03,,09:03,,
202401027619273,02/01/2024,DIS,09:20,09:20,09:19,09:20,,
202401027619273,02/01/2024,SMK,09:31,09:32,09:30,09:31,,
202401027619273,02/01/2024,IPS,09:43,09:44,09:41,10:04,832,
202401027619273,02/01/2024,MNG,09:53,09:54,10:14,10:15,832,
202401027619273,02/01/2024,COL,10:02,,10:23,,832,
202401027619273,02/01/2024,CHM,10:20,10:21,,,832,
202401027619273,02/01/2024,SRA,10:46,,,,832,
202401027619273,02/01/2024,LST,10:55,,,,832,
202401027619276,02/01/2024,NRW,,09:32,,,832,
202401027619276,02/01/2024,DIS,09:48,09:49,,,832,
202401027619276,02/01/2024,IPS,10:09,10:10,,,832,
202401027619276,02/01/2024,MNG,10:18,10:19,,,832,
202401027619276,02/01/2024,COL,10:29,10:30,,,832,
202401027619276,02/01/2024,LST,11:18,,,,832,
202401027619280,02/01/2024,NRW,,10:00,,10:12,832,
202401027619280,02/01/2024,DIS,10:16,10:17,10:28,10:30,832,
202401027619280,02/01/2024,SMK,10:28,10:29,10:41,10:42,832,
202401027619280,02/01/2024,IPS,10:40,10:41,10:52,10:55,832,
202401027619280,02/01/2024,MNG,10:50,10:51,11:04,11:06,832,
202401027619280,02/01/2024,COL,11:00,11:01,11:18,11:21,832,
202401027619280,02/01/2024,CHM,11:18,11:18,11:39,11:42,832,
202401027619280,02/01/2024,SNF,11:28,11:28,11:52,11:54,832,
202401027619280,02/01/2024,SRA,11:43,,12:07,,832,
202401027619280,02/01/2024,LST,11:51,,12:17,,832,
202401027619283,02/01/2024,NRW,,10:30,,10:52,832,
202401027619283,02/01/2024,DIS,10:46,10:47,11:08,11:08,832,
202401027619283,02/01/2024,SMK,10:57,10:57,11:21,11:21,832,
202401027619283,02/01/2024,IPS,11:07,11:10,11:32,11:35,832,
202401027619283,02/01/2024,MNG,11:18,11:19,11:44,11:44,832,
202401027619283,02/01/2024,COL,11:28,11:30,11:56,11:56,832,
202401027619283,02/01/2024,LST,12:15,,12:55,,832,
202401027619287,02/01/2024,NRW,,11:00,,,832,
202401027619287,02/01/2024,DIS,11:17,11:17,,,832,
202401027619287,02/01/2024,SMK,11:28,11:29,,,832,
202401027619287,02/01/2024,IPS,11:41,11:42,,,832,
202401027619287,02/01/2024,MNG,11:50,11:51,,,832,
202401027619287,02/01/2024,COL,12:00,12:01,,,832,
202401027619287,02/01/2024,CHM,12:18,12:18,,,832,
202401027619287,02/01/2024,SRA,12:43,,,,832,
202401027619287,02/01/2024,LST,12:51,,,,832,
202401027619290,02/01/2024,NRW,,11:32,,11:32,,
202401027619290,02/01/2024,DIS,11:48,11:49,11:49,11:50,,
202401027619290,02/01/2024,IPS,12:09,12:10,12:08,12:09,,
202401027619290,02/01/2024,MNG,12:18,12:19,12:18,12:19,,
202401027619290,02/01/2024,COL,12:29,12:30,12:28,12:29,,
202401027619290,02/01/2024,LST,13:15,,13:19,,,
202401027619294,02/01/2024,NRW,,12:00,,12:00,,
202401027619294,02/01/2024,DIS,12:16,12:17,12:16,12:17,,
202401027619294,02/01/2024,SMK,12:28,12:29,12:28,12:29,,
202401027619294,02/01/2024,IPS,12:41,12:42,12:40,12:41,,
202401027619294,02/01/2024,MNG,12:50,12:51,12:50,12:51,,
202401027619294,02/01/2024,COL,13:00,13:01,12:58,13:00,,
202401027619294,02/01/2024,CHM,13:18,13:19,13:17,13:19,,
202401027619294,02/01/2024,SRA,13:43,,13:42,,,
202401027619294,02/01/2024,LST,13:52,,13:53,,,
202401027619297,02/01/2024,NRW,,12:32,,12:32,,
202401027619297,02/01/2024,DIS,12:48,12:49,12:48,12:50,,
202401027619297,02/01/2024,IPS,13:09,13:10,13:08,13:11,,
202401027619297,02/01/2024,MNG,13:18,13:19,13:20,13:21,,
202401027619297,02/01/2024,COL,13:29,13:30,13:28,13:28,,
202401027619297,02/01/2024,LST,14:16,,14:17,,,
202401027619301,02/01/2024,NRW,,13:00,,13:00,,
202401027619301,02/01/2024,DIS,13:16,13:17,13:18,13:19,,
202401027619301,02/01/2024,SMK,13:28,13:29,13:30,13:30,,
202401027619301,02/01/2024,IPS,13:40,13:41,13:40,13:41,,
202401027619301,02/01/2024,MNG,13:49,13:50,13:50,13:51,,
202401027619301,02/01/2024,COL,14:00,14:01,13:58,14:00,,
202401027619301,02/01/2024,CHM,14:18,14:19,14:17,14:19,,
202401027619301,02/01/2024,SRA,14:43,,14:43,,,
202401027619301,02/01/2024,LST,14:51,,14:52,,,
202401027619305,02/01/2024,NRW,,13:30,,13:31,,
202401027619305,02/01/2024,DIS,13:47,13:48,13:47,13:48,,
202401027619305,02/01/2024,IPS,14:08,14:10,14:09,14:11,,
202401027619305,02/01/2024,MNG,14:18,14:19,14:20,14:21,,
202401027619305,02/01/2024,COL,14:29,14:30,14:27,14:29,,
202401027619305,02/01/2024,LST,15:17,,15:21,,734,
202401027619309,02/01/2024,NRW,,14:01,,14:01,,
202401027619309,02/01/2024,DIS,14:17,14:18,14:17,14:18,,
202401027619309,02/01/2024,SMK,14:29,14:30,14:29,14:29,,
202401027619309,02/01/2024,IPS,14:41,14:42,14:39,14:42,,
202401027619309,02/01/2024,MNG,14:50,14:51,14:51,14:52,,
202401027619309,02/01/2024,COL,15:01,15:02,15:00,15:01,,
202401027619309,02/01/2024,CHM,15:19,15:19,15:19,15:20,,
202401027619309,02/01/2024,SRA,15:43,,15:50,,,
202401027619309,02/01/2024,LST,15:52,,16:00,,,
202401027619312,02/01/2024,NRW,,14:30,,14:30,,
202401027619312,02/01/2024,DIS,14:46,14:47,14:46,14:47,,
202401027619312,02/01/2024,IPS,15:07,15:09,15:06,15:08,,
202401027619312,02/01/2024,MNG,15:17,15:19,15:17,15:19,,
202401027619312,02/01/2024,COL,15:28,15:30,15:26,15:29,,
202401027619312,02/01/2024,LST,16:15,,16:14,,,
202401027619315,02/01/2024,NRW,,15:00,,15:00,,
202401027619315,02/01/2024,DIS,15:16,15:17,15:22,15:24,,
202401027619315,02/01/2024,SMK,15:28,15:29,15:35,15:36,734,
202401027619315,02/01/2024,IPS,15:41,15:43,15:46,15:47,784,
202401027619315,02/01/2024,MNG,15:52,15:53,15:56,15:57,784,
202401027619315,02/01/2024,COL,16:02,16:03,16:04,16:04,784,
202401027619315,02/01/2024,CHM,16:20,16:21,16:22,16:24,784,
202401027619315,02/01/2024,SRA,16:45,,16:52,,784,
202401027619315,02/01/2024,LST,16:56,,17:01,,784,
202401027619318,02/01/2024,NRW,,15:30,,15:30,,
202401027619318,02/01/2024,DIS,15:47,15:48,15:46,15:48,,
202401027619318,02/01/2024,IPS,16:09,16:10,16:07,16:09,,
202401027619318,02/01/2024,MNG,16:18,16:19,16:18,16:19,,
202401027619318,02/01/2024,COL,16:28,16:29,16:26,16:28,,
202401027619318,02/01/2024,LST,17:16,,17:22,,811,
202401027619321,02/01/2024,NRW,,16:00,,16:00,,
202401027619321,02/01/2024,DIS,16:16,16:17,16:16,16:17,,
202401027619321,02/01/2024,SMK,16:28,16:29,16:28,16:29,,
202401027619321,02/01/2024,IPS,16:40,16:42,16:40,16:42,,
202401027619321,02/01/2024,MNG,16:51,16:52,16:51,16:52,,
202401027619321,02/01/2024,COL,17:02,17:04,17:00,17:03,,
202401027619321,02/01/2024,CHM,17:21,17:21,17:21,17:21,,
202401027619321,02/01/2024,SRA,17:47,,17:56,,,
202401027619321,02/01/2024,LST,17:57,,18:06,,,
202401027619324,02/01/2024,NRW,,16:30,,16:30,,
202401027619324,02/01/2024,DIS,16:47,16:48,16:46,16:48,,
202401027619324,02/01/2024,IPS,17:08,17:10,17:09,17:09,,
202401027619324,02/01/2024,MNG,17:18,17:19,17:19,17:20,,
202401027619324,02/01/2024,COL,17:28,17:30,17:27,17:29,,
202401027619324,02/01/2024,LST,18:21,,18:39,,811,
202401027619328,02/01/2024,NRW,,17:03,,17:03,811,
202401027619328,02/01/2024,DIS,17:19,17:20,17:19,17:21,811,
202401027619328,02/01/2024,SMK,17:31,17:33,17:33,17:33,811,
202401027619328,02/01/2024,IPS,17:45,17:47,,,811,
202401027619328,02/01/2024,MNG,17:55,17:56,,,811,
202401027619328,02/01/2024,COL,18:05,18:06,,,811,
202401027619328,02/01/2024,CHM,18:23,18:23,,,811,
202401027619328,02/01/2024,SRA,18:49,,,,811,
202401027619328,02/01/2024,LST,18:58,,,,811,
202401027619331,02/01/2024,NRW,,17:30,,17:32,,
202401027619331,02/01/2024,DIS,17:46,17:47,17:59,,811,
202401027619331,02/01/2024,SMK,17:58,17:59,,,811,
202401027619331,02/01/2024,IPS,18:10,18:11,,,811,
202401027619331,02/01/2024,MNG,18:20,18:20,,,811,
202401027619331,02/01/2024,COL,18:29,18:30,,18:58,811,
202401027619331,02/01/2024,LST,19:16,,20:13,,811,
202401027619333,02/01/2024,NRW,,18:00,,,811,
202401027619333,02/01/2024,DIS,18:16,18:17,,,811,
202401027619333,02/01/2024,SMK,18:28,18:29,,,811,
202401027619333,02/01/2024,IPS,18:40,18:42,,,811,
202401027619333,02/01/2024,MNG,18:50,18:53,,,811,
202401027619333,02/01/2024,COL,19:01,19:03,,,811,
202401027619333,02/01/2024,CHM,19:20,19:21,,,811,
202401027619333,02/01/2024,SRA,19:44,,,,811,
202401027619333,02/01/2024,LST,19:53,,,,811,
202401027619340,02/01/2024,NRW,,19:00,,,811,
202401027619340,02/01/2024,DIS,19:16,19:17,,,811,
202401027619340,02/01/2024,SMK,19:28,19:29,,,811,
202401027619340,02/01/2024,IPS,19:40,19:42,,,811,
202401027619340,02/01/2024,MNG,19:51,19:53,,,811,
202401027619340,02/01/2024,COL,20:01,20:02,,,811,
202401027619340,02/01/2024,CHM,20:20,20:20,,,811,
202401027619340,02/01/2024,SRA,20:44,,,,811,
202401027619340,02/01/2024,LST,20:54,,,,811,
202401027619343,02/01/2024,NRW,,19:32,,,811,
202401027619343,02/01/2024,DIS,19:48,19:49,,,811,
202401027619343,02/01/2024,IPS,20:09,20:10,,,811,
202401027619343,02/01/2024,MNG,20:19,20:20,,,811,
202401027619343,02/01/2024,COL,20:28,20:30,,,811,
202401027619343,02/01/2024,LST,21:19,,,,811,
202401027619345,02/01/2024,NRW,,20:00,,,811,
202401027619345,02/01/2024,DIS,20:16,20:17,,,811,
202401027619345,02/01/2024,SMK,20:28,20:29,,,811,
202401027619345,02/01/2024,IPS,20:41,20:45,,,811,
202401027619345,02/01/2024,MNG,20:53,20:54,,,811,
202401027619345,02/01/2024,COL,21:02,21:03,,,811,
202401027619345,02/01/2024,CHM,21:20,21:21,,,811,
202401027619345,02/01/2024,SRA,21:47,,,,811,
202401027619345,02/01/2024,LST,21:55,,,,811,
202401027619348,02/01/2024,NRW,,20:32,,,811,
202401027619348,02/01/2024,DIS,20:48,20:49,,,811,
202401027619348,02/01/2024,IPS,21:09,21:10,,,811,
202401027619348,02/01/2024,MNG,21:19,21:20,,,811,
202401027619348,02/01/2024,COL,,21:30,,21:30,,
202401027619348,02/01/2024,LST,22:18,,22:44,,811,
202401027619349,02/01/2024,NRW,,21:02,,,655,
202401027619349,02/01/2024,DIS,21:18,21:19,,,655,
202401027619349,02/01/2024,SMK,21:30,21:31,,,655,
202401027619349,02/01/2024,IPS,21:42,21:44,,,655,
202401027619349,02/01/2024,MNG,21:53,21:53,,,655,
202401027619349,02/01/2024,COL,22:02,22:03,,,655,
202401027619349,02/01/2024,CHM,22:20,22:21,,,655,
202401027619349,02/01/2024,SRA,22:45,,,,655,
202401027619349,02/01/2024,LST,22:55,,,,655,
202401027619353,02/01/2024,NRW,,22:02,,,655,
202401027619353,02/01/2024,DIS,22:18,22:19,,,655,
202401027619353,02/01/2024,SMK,22:30,22:31,,,655,
202401027619353,02/01/2024,IPS,22:42,22:43,,,655,
202401027619353,02/01/2024,MNG,22:52,22:53,,,655,
202401027619353,02/01/2024,COL,,23:03,,23:05,,
202401027619353,02/01/2024,WTM,23:14,23:14,23:22,23:23,,
202401027619353,02/01/2024,CHM,23:24,23:25,23:35,23:36,,
202401027619353,02/01/2024,SNF,23:36,23:37,23:49,23:50,,
202401027619353,02/01/2024,SRA,23:53,,00:11,,,
202401027619353,02/01/2024,LST,00:03,,00:21,,,
202401037619247,03/01/2024,NRW,,05:05,,,655,
202401037619247,03/01/2024,DIS,05:21,05:22,,,655,
202401037619247,03/01/2024,SMK,05:33,05:34,,,655,
202401037619247,03/01/2024,IPS,05:45,05:46,,,655,
202401037619247,03/01/2024,MNG,05:55,05:56,,,655,
202401037619247,03/01/2024,COL,06:04,06:06,,,655,
202401037619247,03/01/2024,SRA,06:45,,,,655,
202401037619247,03/01/2024,LST,06:54,,,,655,
202401037619249,03/01/2024,NRW,,05:30,,,655,
202401037619249,03/01/2024,DIS,05:46,05:47,,,655,
202401037619249,03/01/2024,SMK,05:58,05:59,,,655,
202401037619249,03/01/2024,IPS,,06:11,,06:11,,
202401037619249,03/01/2024,MNG,06:19,06:20,06:21,06:22,,
202401037619249,03/01/2024,COL,06:29,06:30,06:29,06:29,,
202401037619249,03/01/2024,SRA,07:12,,07:11,,,
202401037619249,03/01/2024,LST,07:22,,07:23,,,
202401037619251,03/01/2024,NRW,,06:04,,,655,
202401037619251,03/01/2024,DIS,06:20,06:21,,,655,
202401037619251,03/01/2024,SMK,06:32,06:33,,,655,
202401037619251,03/01/2024,IPS,06:44,06:45,,,655,
202401037619251,03/01/2024,MNG,06:54,06:55,,,655,
202401037619251,03/01/2024,COL,07:03,07:05,,,655,
202401037619251,03/01/2024,SRA,07:47,,,,655,
202401037619251,03/01/2024,LST,07:58,,,,655,
202401037619253,03/01/2024,NRW,,06:28,,,655,
202401037619253,03/01/2024,DIS,06:44,06:45,,,655,
202401037619253,03/01/2024,SMK,06:56,06:57,,,655,
202401037619253,03/01/2024,IPS,07:08,07:09,,,655,
202401037619253,03/01/2024,MNG,07:18,07:19,,,655,
202401037619253,03/01/2024,COL,07:28,07:30,,,655,
202401037619253,03/01/2024,SRA,08:14,,,,655,
202401037619253,03/01/2024,LST,08:24,,,,655,
202401037619257,03/01/2024,NRW,,07:05,,07:29,725,
202401037619257,03/01/2024,DIS,07:21,07:22,07:49,07:50,725,
202401037619257,03/01/2024,SMK,07:33,07:34,08:01,08:01,725,
202401037619257,03/01/2024,IPS,07:47,07:48,08:14,08:15,725,
202401037619257,03/01/2024,MNG,07:57,07:58,08:24,08:25,725,
202401037619257,03/01/2024,COL,08:07,08:08,08:32,08:32,725,
202401037619257,03/01/2024,SRA,08:49,,09:14,,725,
202401037619257,03/01/2024,LST,09:00,,09:24,,725,
202401037619262,03/01/2024,NRW,,07:26,,07:38,725,
202401037619262,03/01/2024,DIS,07:42,07:44,07:54,07:55,725,
202401037619262,03/01/2024,SMK,07:55,07:56,08:06,08:06,725,
202401037619262,03/01/2024,IPS,08:11,08:13,08:18,08:21,725,
202401037619262,03/01/2024,MNG,08:21,08:22,08:30,08:31,725,
202401037619262,03/01/2024,COL,08:31,08:32,08:39,08:39,725,
202401037619262,03/01/2024,SRA,09:15,,09:22,,725,
202401037619262,03/01/2024,LST,09:25,,09:30,,725,
202401037619266,03/01/2024,NRW,,08:03,,08:02,,
202401037619266,03/01/2024,DIS,08:20,08:20,08:19,08:20,,
202401037619266,03/01/2024,SMK,08:31,08:32,08:31,08:31,,
202401037619266,03/01/2024,IPS,08:43,08:44,08:45,08:47,,
202401037619266,03/01/2024,MNG,08:52,08:53,08:55,08:56,,
202401037619266,03/01/2024,COL,09:02,09:03,09:03,09:03,,
202401037619266,03/01/2024,CHM,09:20,09:21,09:20,09:22,,
202401037619266,03/01/2024,SRA,09:49,,09:47,,,
202401037619266,03/01/2024,LST,10:00,,09:57,,,
202401037619269,03/01/2024,NRW,,08:30,,08:58,725,
202401037619269,03/01/2024,DIS,08:46,08:47,09:14,09:16,725,
202401037619269,03/01/2024,IPS,09:07,09:10,09:35,09:36,725,
202401037619269,03/01/2024,MNG,09:18,09:19,09:45,09:46,725,
202401037619269,03/01/2024,COL,09:29,09:30,09:54,09:55,725,
202401037619269,03/01/2024,LST,10:19,,10:50,,725,
202401037619273,03/01/2024,NRW,,09:03,,09:03,,
202401037619273,03/01/2024,DIS,09:20,09:20,09:20,09:21,,
202401037619273,03/01/2024,SMK,09:31,09:32,09:32,09:32,,
202401037619273,03/01/2024,IPS,09:43,09:44,09:44,09:45,,
202401037619273,03/01/2024,MNG,09:53,09:54,09:54,09:54,,
202401037619273,03/01/2024,COL,10:02,10:03,10:01,10:02,,
202401037619273,03/01/2024,CHM,10:20,10:21,10:23,10:23,,
202401037619273,03/01/2024,SRA,10:46,,10:48,,,
202401037619273,03/01/2024,LST,10:55,,10:57,,,
202401037619276,03/01/2024,NRW,,09:32,,09:31,,
202401037619276,03/01/2024,DIS,09:48,09:49,09:48,09:49,,
202401037619276,03/01/2024,IPS,10:09,10:10,10:11,10:12,,
202401037619276,03/01/2024,MNG,10:18,10:19,10:21,10:22,,
202401037619276,03/01/2024,COL,10:29,10:30,10:29,10:29,,
202401037619276,03/01/2024,LST,11:18,,11:17,,,
202401037619280,03/01/2024,NRW,,10:00,,09:59,,
202401037619280,03/01/2024,DIS,10:16,10:17,10:15,10:16,,
202401037619280,03/01/2024,SMK,10:28,10:29,10:27,10:27,,
202401037619280,03/01/2024,IPS,10:40,10:41,10:38,10:40,,
202401037619280,03/01/2024,MNG,10:50,10:51,10:49,10:51,,
202401037619280,03/01/2024,COL,11:00,11:01,10:58,11:00,,
202401037619280,03/01/2024,CHM,11:18,11:18,11:17,11:18,,
202401037619280,03/01/2024,SRA,11:43,,11:42,,,
202401037619280,03/01/2024,LST,11:51,,11:52,,,
202401037619283,03/01/2024,NRW,,10:30,,10:29,,
202401037619283,03/01/2024,DIS,10:46,10:47,10:46,10:47,,
202401037619283,03/01/2024,IPS,11:07,11:10,11:06,11:09,,
202401037619283,03/01/2024,MNG,11:18,11:19,11:19,11:20,,
202401037619283,03/01/2024,COL,11:28,11:30,11:26,11:29,,
202401037619283,03/01/2024,LST,12:15,,12:20,,,
202401037619287,03/01/2024,NRW,,11:00,,10:59,,
202401037619287,03/01/2024,DIS,11:17,11:17,11:16,11:17,,
202401037619287,03/01/2024,SMK,11:28,11:29,11:28,11:28,,
202401037619287,03/01/2024,IPS,11:41,11:42,11:38,11:41,,
202401037619287,03/01/2024,MNG,11:50,11:51,11:50,11:51,,
202401037619287,03/01/2024,COL,12:00,12:01,11:58,12:00,,
202401037619287,03/01/2024,CHM,12:18,12:18,12:17,12:18,,
202401037619287,03/01/2024,SRA,12:43,,12:42,,,
202401037619287,03/01/2024,LST,12:51,,12:52,,,
202401037619290,03/01/2024,NRW,,11:32,,11:32,,
202401037619290,03/01/2024,DIS,11:48,11:49,11:47,11:49,,
202401037619290,03/01/2024,IPS,12:09,12:10,12:07,12:09,,
202401037619290,03/01/2024,MNG,12:18,12:19,12:18,12:19,,
202401037619290,03/01/2024,COL,12:29,12:30,12:26,12:29,,
202401037619290,03/01/2024,LST,13:15,,13:25,,547,
202401037619294,03/01/2024,NRW,,12:00,,12:00,,
202401037619294,03/01/2024,DIS,12:16,12:17,12:16,12:18,,
202401037619294,03/01/2024,SMK,12:28,12:29,12:28,12:28,,
202401037619294,03/01/2024,IPS,12:41,12:42,12:38,12:41,,
202401037619294,03/01/2024,MNG,12:50,12:51,12:50,12:51,,
202401037619294,03/01/2024,COL,13:00,13:01,12:58,13:00,,
202401037619294,03/01/2024,CHM,13:18,13:19,13:17,13:18,,
202401037619294,03/01/2024,SRA,13:43,,13:43,,,
202401037619294,03/01/2024,LST,13:52,,13:52,,,
202401037619297,03/01/2024,NRW,,12:32,,12:32,,
202401037619297,03/01/2024,DIS,12:48,12:49,12:48,12:49,,
202401037619297,03/01/2024,IPS,13:09,13:10,13:07,13:09,,
202401037619297,03/01/2024,MNG,13:18,13:19,13:18,13:19,,
202401037619297,03/01/2024,COL,13:29,13:30,13:26,13:29,,
202401037619297,03/01/2024,LST,14:16,,14:17,,,
202401037619301,03/01/2024,NRW,,13:00,,12:59,,
202401037619301,03/01/2024,DIS,13:16,13:17,13:16,13:17,,
202401037619301,03/01/2024,SMK,13:28,13:29,13:27,13:28,,
202401037619301,03/01/2024,IPS,13:40,13:41,13:38,13:40,,
202401037619301,03/01/2024,MNG,13:49,13:50,13:49,13:50,,
202401037619301,03/01/2024,COL,14:00,14:01,13:57,14:00,,
202401037619301,03/01/2024,CHM,14:18,14:19,14:17,14:18,,
202401037619301,03/01/2024,SRA,14:43,,14:42,,,
202401037619301,03/01/2024,LST,14:51,,14:52,,,
202401037619305,03/01/2024,NRW,,13:30,,13:30,,
202401037619305,03/01/2024,DIS,13:47,13:48,13:46,13:48,,
202401037619305,03/01/2024,IPS,14:08,14:10,14:07,14:09,,
202401037619305,03/01/2024,MNG,14:18,14:19,14:18,14:19,,
202401037619305,03/01/2024,COL,14:29,14:30,14:27,14:29,,
202401037619305,03/01/2024,LST,15:17,,15:19,,,
202401037619309,03/01/2024,NRW,,14:01,,14:00,,
202401037619309,03/01/2024,DIS,14:17,14:18,14:17,14:18,,
202401037619309,03/01/2024,SMK,14:29,14:30,14:29,14:29,,
202401037619309,03/01/2024,IPS,14:41,14:42,14:39,14:42,,
202401037619309,03/01/2024,MNG,14:50,14:51,14:51,14:52,,
202401037619309,03/01/2024,COL,15:01,15:02,14:59,15:01,,
202401037619309,03/01/2024,CHM,15:19,15:19,15:18,15:19,,
202401037619309,03/01/2024,SRA,15:43,,15:49,,,
202401037619309,03/01/2024,LST,15:52,,15:59,,547,
202401037619312,03/01/2024,NRW,,14:30,,14:29,,
202401037619312,03/01/2024,DIS,14:46,14:47,14:46,14:47,,
202401037619312,03/01/2024,IPS,15:07,15:09,15:05,15:08,,
202401037619312,03/01/2024,MNG,15:17,15:19,15:17,15:19,,
202401037619312,03/01/2024,COL,15:28,15:30,15:27,15:29,,
202401037619312,03/01/2024,LST,16:15,,16:15,,,
202401037619315,03/01/2024,NRW,,15:00,,14:59,,
202401037619315,03/01/2024,DIS,15:16,15:17,15:16,15:17,,
202401037619315,03/01/2024,SMK,15:28,15:29,15:28,15:28,,
202401037619315,03/01/2024,IPS,15:41,15:43,15:39,15:42,,
202401037619315,03/01/2024,MNG,15:52,15:53,15:52,15:53,,
202401037619315,03/01/2024,COL,16:02,16:03,16:00,16:02,,
202401037619315,03/01/2024,CHM,16:20,16:21,16:19,16:21,,
202401037619315,03/01/2024,SRA,16:45,,16:46,,,
202401037619315,03/01/2024,LST,16:56,,16:57,,,
202401037619318,03/01/2024,NRW,,15:30,,15:29,,
202401037619318,03/01/2024,DIS,15:47,15:48,15:46,15:48,,
202401037619318,03/01/2024,IPS,16:09,16:10,16:06,16:09,,
202401037619318,03/01/2024,MNG,16:18,16:19,16:19,16:20,,
202401037619318,03/01/2024,COL,16:28,16:29,16:26,16:28,,
202401037619318,03/01/2024,LST,17:16,,17:19,,,
202401037619321,03/01/2024,NRW,,16:00,,16:00,,
202401037619321,03/01/2024,DIS,16:16,16:17,16:16,16:17,,
202401037619321,03/01/2024,SMK,16:28,16:29,16:28,16:28,,
202401037619321,03/01/2024,IPS,16:40,16:42,16:39,16:41,,
202401037619321,03/01/2024,MNG,16:51,16:52,16:51,16:52,,
202401037619321,03/01/2024,COL,17:02,17:04,16:59,17:03,,
